タイムスタンプ,発表済か(0は発表未、1は発表済),パロディ元募集の規約に同意してください。,"名前(ネットでの使用名)を記入してください。
※名前を騙る行為は大変迷惑ですので、おやめください。",Twitter(X)のID(なければメールアドレス)を入力してください。(ここの記載を間違えると連絡ができません！),ボカロPですか？作詞家ですか？絵師ですか？動画師ですか？（複数選択可、メインでなくとも作ったことがあれば選択してください）,"あなたの曲(あなたが担当した曲)のうち、パロディを禁止する曲があれば列挙してください。
※逆に「○○」「○○」以外は禁止という書き方も可能です。","あなたの曲(あなたが担当した曲)のうち、パロディが含まれている曲があれば列挙してください。(替え歌や、いわゆる界隈曲など)
※そのパロディ元にごめんなさい投稿祭が許可を取っていない場合(もしくはパロディ元がボカロ曲(広義)でない場合)は、その曲のうち、そのパロディを含む部分はパロディができません(パロディを行う場合は自己責任となります)。",ニコニコ動画以外にも投稿を許可しますか？,"クレジットについて、オプションを1つ選んでください。
※1つ前の質問で「許可しない」を選んだ方は「*」が先頭に付いている選択肢から選んでください。「許可する」を選んだ方はどれを選んでいただいても良いです。","収益化(ニコニコ動画のクリエイター奨励プログラムとYouTubeの収益化プログラムのみ)を許可しますか？
※その他の収益化の許可はごめんなさい投稿祭としては致しません。
※2つ前の質問で「許可しない」を選んだ方は「許可する」または「許可しない」を選んでください。","この応募の後(2024年8月20日まで)に投稿された楽曲も、パロディ元の対象としますか？
※別途ご連絡があれば、特定の楽曲を対象としたりしなかったりすることができます。","「ごめんなさい投稿祭2」に準ずるものが開催されることとなったとき、このフォーム入力を省略できるようにしますか？
※自動更新となります。当然その際には連絡を入れ、その時にやめることもできます。","ごめんなさい投稿祭運営が公式HPやTwitter(X)で、あなたのアイコン(Twitter(X)もしくは動画投稿サイトのアイコン)を使用してよいですか？
※パロディ元の宣伝以外では使いません。",その他オリジナルライセンスがあれば、記入してください。（曲を担当された絵師さんや動画師さんに既に許可が取れていましたら、ここにその旨を記入してください。）,"最後に一言どうぞ！
※掲載される文章です。運営に伝えたいことは次の質問に記入してください。",もし運営への要望などのコメントがございましたら、記入してください。,名前のふりがなを記入してください。（英語なども含めて、読みを全てひらがなで入力してください）,もし「この曲を一番パロディしてほしい！」という曲があれば記入してください。(1曲のみ),一番パロディしてほしい曲のリンク,ニコ動のリンク,YouTubeのリンク,一番パロディしてほしい曲のリンク（ニコニコ復旧後）,ニコニコメンテナンス遺産
2024/05/27 19:40:31,1,同意する,桃色おからP,ooenn_onnenn_se,"ボカロP, 作詞家, 絵師, 動画師",,おきつねうどんドンドコドン(フレーム画像がたぬきそばorきつねうどん応援歌投稿祭の運営様が配布した素材),許可する,パロディ元を隠すことで成り立つ曲であれば不要、それ以外の場合はどこかに記載,許可する,対象とする,省略できるようにする,使用してよい,,どれでもコトコト好きに煮込んじゃってください！お待ちしてまーす！！！,,ももいろおからぴー,おきつねうどんドンドコドン(フレーム画像はパロディ不可),https://www.nicovideo.jp/watch/sm43205283,https://nicovideo.jp/user/128501141,https://www.youtube.com/@ooenn_onnenn_se,,https://www.nicovideo.jp/watch/sm43205283
2024/05/27 21:54:39,1,同意する,たわん和（性悪P）,@ipLDP7Q0eLHdcQl,"ボカロP, 作詞家, 動画師",P名言ってみろ2023(メロディー以外パロディ不可),全て妖怪のせいにした。・ドナルドのシワザ・神代類の劇唱・ドクオヤ!!!!（ここに記載した楽曲は収益不可）,許可する,記載しなくてよい,許可する(上記例外を除く),対象としない,省略できるようにする,使用してよい,,別に滅茶苦茶にしていいよ,"運営大変そうですね…運営手伝い
少しなら…サポートでき…ﾙｶﾅ……
頑張って下さい…",たわんわ（せいあくぴー）,ノリノリノリノリ,https://www.nicovideo.jp/watch/sm42017688,https://nicovideo.jp/user/125021144,https://www.youtube.com/@tawanwa464,,https://www.youtube.com/watch?v=Ew1GDWX1VmE
2024/05/27 20:13:49,1,同意する,unui,@unui,"ボカロP, 作詞家",,好きなうまい棒発表ドラゴン、好きなペンギン発表ドラゴン、好きな生物発表ボカロP,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,たくさんあるのでよろしく,素敵な投稿祭の開催ありがとうございます！！,うぬい,レンコンに穴をあけるお仕事のうた(動画は現状パロディ不可),https://www.nicovideo.jp/watch/sm7020702,https://nicovideo.jp/user/13316840,https://www.youtube.com/@inutarounui,,https://www.youtube.com/watch?v=FMpLdLmjNTE
2024/05/26 8:21:39,1,同意する,PSGOZ,@PSGOZMIKU,"ボカロP, 作詞家, 動画師",,,許可する,記載しなくてよい,許可する,対象とする,省略できるようにしない,使用してよい,オリジナル曲の絵もクレジットなしでパロディ可、使用は不可(ごめんなさい投稿祭全体で使用は原則不可です),この試みによってパロディは許可を取ってやるものだと勘違いして欲しくはないです。,,ぴーえすじーおーぜっと,発熱エモーション,https://www.nicovideo.jp/watch/sm27790524,https://nicovideo.jp/user/21369747,https://www.youtube.com/@PSGOZ,,https://www.youtube.com/watch?v=me9HK9S1688
2024/05/28 23:35:56,1,同意する,Lupus.,Lupus208523,"ボカロP, 作詞家, 絵師, 動画師",空も澄みぬべき春心地、ターミナルシップ、プラスターハートの３曲は楽曲のみパロディ可能、収益化不可,,許可する,動画概要欄での記載・親作品の登録が必須,「愛は等倍、夜は浅い。」「Nenashitabi」のみ許可する,対象としない,省略できるようにしない,使用してよい,,私が手がけた範囲であれば、どんどん好きにパロっちゃってください～,「空も澄みぬべき春心地」「ターミナルシップ」「プラスターハート」の３曲以外なら収益化もオッケーです！（もし告知の際に必要であれば上記もご掲載ください。）,るーぷす,プラスターハート(動画のパロディ・収益化不可),https://www.nicovideo.jp/watch/so42910748,https://nicovideo.jp/user/130022790,https://www.youtube.com/@Lupus.offical,,https://www.nicovideo.jp/watch/so42910748
2024/05/28 19:47:34,1,同意する,soru,@sora18019984,"ボカロP, DTMer",VIRTU(RE)AL,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,どんな曲でどんな解釈をするのか楽しみです！,,そる,泪イルカ,https://www.youtube.com/watch?v=U4SbExnJHbI,,https://www.youtube.com/@soru6705,,https://www.youtube.com/watch?v=U4SbExnJHbI
2024/05/28 14:59:46,1,同意する,KARUME,KARUME924,ボカロP,,,許可する,記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,絵もパロディ可、ただし絵師さんのクレジットは記載すること,ボカロ最高！！,,かるめ,はぴなす(full),https://www.nicovideo.jp/watch/sm42541193,https://nicovideo.jp/user/122561273,https://www.youtube.com/@KARUMEp2907,,https://www.youtube.com/watch?v=xb9lj5IFZqM
2024/05/27 12:41:34,1,同意する,ごんた,@gonta110322,ボカロP,DANDELION,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象としない,省略できるようにする,使用してよい,,楽しいこと大好きなボカロPです！一緒に楽しめたら嬉しいです！,,ごんた,ぬくもりぷらねっと(絵のパロディ不可),https://www.nicovideo.jp/watch/sm43747349,https://nicovideo.jp/user/126685337,https://www.youtube.com/@gontan1103,,https://www.youtube.com/watch?v=B2LIgqfItCc
2024/05/28 2:24:35,1,同意する,#GEOVAN,GEOVAN96093122,"ボカロP, 作詞家, 動画師",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにしない,使用してよい,,自分もまだまだですが楽しくやっていきましょう！,,じぇおゔぁん（じお）,赤い花 ,https://www.nicovideo.jp/watch/sm42316615,https://nicovideo.jp/user/118579670,https://www.youtube.com/@geovan3822,,https://www.youtube.com/watch?v=kEZKEguY3h4
2024/05/27 13:55:29,1,同意する,Ancohol,@Ancohol_Music,"ボカロP, 作詞家",,,許可する,任意だが出来るだけ記載,許可する,対象とする,省略できるようにする,使用してよい,「流星痕」以外は絵のパロディ不可、エログロが絡む表現も不可,,,あんこーる,夏空と彗。(絵はパロディ不可),https://www.nicovideo.jp/watch/sm43426720,https://nicovideo.jp/user/125616744,https://www.youtube.com/@ancoholofficial7155,,https://www.youtube.com/watch?v=zC2Tom13tYs
